Product Name,Price,transmission,fuel,engine_capacity
Toyota Prius S,PKR 83.7 lacs,Automatic(CVT),Hybrid,1798cc
Toyota Fortuner 2.8 Sigma 4,PKR 86.49 lacs,Automatic,Diesel,2755cc
BMW X1 sDrive18i,PKR 90.78 lacs,Manual,Petrol,1499cc
Audi A4 1.4 TFSI ,PKR 93 lacs,Automatic,Petrol,1395cc
BMW i3 REx,PKR 93 lacs,Automatic,Hybrid,647cc
BMW X2 sDrive18i,PKR 1.05 crore,Automatic,Petrol,1499cc
Audi A5 1.4 TFSI Sportback,PKR 1.05 crore,Automatic,Petrol,1395cc
Honda CR-V 2.0 CVT,PKR 1.07 crore,Automatic(CVT),Petrol,1997cc
Mercedes Benz C Class C180,PKR 1.08 crore,Automatic,Petrol,1595cc
Honda Accord 1.5L VTEC Turbo,PKR 1.2 crore,Automatic(CVT),Petrol,1498cc
BMW 3 Series 318i,PKR 1.25 crore,Automatic,Petrol,1499cc
BMW 2 Series 218i,PKR 1.26 crore,Automatic,Petrol,1499cc
Mercedes Benz GLA Class 200,PKR 1.32 crore,Manual,Petrol,1595cc
Mercedes Benz C Class C180 Exclusive,PKR 1.37 crore,Automatic,Petrol,1595cc
Mercedes Benz C Class C180 AMG,PKR 1.41 crore,Automatic,Petrol,1595cc
Range Rover Evoque Dynamic,PKR 1.5 crore,Automatic,Petrol,1998cc
Toyota Camry Low Grade,PKR 1.61 crore,Automatic(CVT),Petrol,2487cc
Toyota Camry High Grade,PKR 1.65 crore,Automatic(CVT),Petrol,2487cc
Mercedes Benz C Class C 180 Cabriolet,PKR 1.77 crore,Automatic,Petrol,1595cc
BMW 3 Series 330e,PKR 1.81 crore,Automatic,Petrol,1998cc
BMW X4 xDrive28i,PKR 1.85 crore,Automatic,Petrol,1997cc
Hyundai Santa Fe GLS,PKR 1.85 crore,Automatic,Petrol,2400cc
BMW X3 Series xDrive30e,PKR 2.15 crore,Automatic,Hybrid,1998cc
Audi A6 2.0 TFSI,PKR 2.15 crore,Automatic,Petrol,1984cc
BMW 5 Series 530e,PKR 2.29 crore,Automatic,Petrol,1998cc
Audi Q5 2.0 TFSI S Tronic Quattro,PKR 2.34 crore,Automatic,Petrol,1984cc
Toyota Prado TX 3.0D,PKR 2.6 crore,Manual,Diesel,2982cc
Audi A6 3.0 TFSI Quattro,PKR 2.77 crore,Automatic,Petrol,2995cc
Audi Q7 3.0 TFSI,PKR 3.08 crore,Automatic,Petrol,2995cc
Porsche Cayman Base Grade,PKR 3.12 crore,Automatic,Petrol,1988cc
Mercedes Benz E Class E200,PKR 3.2 crore,Automatic,Petrol,1991cc
Porsche Boxster Base Model 2.0 ,PKR 3.26 crore,Manual,Petrol,1988cc
Audi A7 3.0 TFSI Quattro,PKR 3.48 crore,Automatic,Petrol,2994cc
Range Rover Vogue Supercharged 5.0 V8,PKR 3.55 crore,Automatic,Petrol,4999cc
Toyota Prado VX 3.0,PKR 3.67 crore,Automatic,Diesel,2982cc
BMW X5 Series xDrive35i,PKR 3.68 crore,Automatic,Petrol,2979cc
BMW X5 Series xDrive45e,PKR 3.7 crore,Automatic,Hybrid,2998cc
Toyota Prado VX 4.0,PKR 3.84 crore,Automatic,Petrol,3956cc
Toyota Land Cruiser GX-R,PKR 3.89 crore,Manual,Diesel,4461cc
Porsche Cayenne Base Model,PKR 4.17 crore,Automatic,Petrol,3598cc
BMW 7 Series 740 Le xDrive,PKR 4.32 crore,Automatic,Petrol,1998cc
Toyota Land Cruiser VX 4.5D,PKR 4.65 crore,Automatic,Diesel,4461cc
Audi A8 3.0 TFSI Quattro,PKR 4.66 crore,Automatic,Petrol,2995cc
Porsche Panamera Base Model,PKR 4.72 crore,Automatic,Petrol,2995cc
Toyota Land Cruiser VX 4.6,PKR 4.8 crore,Automatic,Petrol,4608cc
Porsche 911 Carrera,PKR 5.05 crore,Automatic,Petrol,2981cc
Porsche Panamera 4S,PKR 5.1 crore,Automatic,Petrol,2894cc
BMW X7 xDrive40i,PKR 5.27 crore,Automatic,Petrol,3000cc
Porsche Panamera 4S Executive,PKR 5.52 crore,Automatic,Petrol,2894cc
Porsche 911 Carrera Cabriolet,PKR 5.56 crore,Automatic,Petrol,2981cc
Mercedes Benz GLS Class GLS450,PKR 5.6 crore,Automatic,Petrol,2996cc
Porsche 911 Carrera S,PKR 5.67 crore,Automatic,Petrol,2981cc
